,Latitude,Longitude,Elevation,RSRP,RSRQ,SNR
1,12.908036,77.562685,824,-98,-12,0
2,12.908036,77.562685,824,-96,-11,0
3,12.908036,77.562685,824,-96,-11,0
4,12.908036,77.562685,824,-93,-12,0
5,12.908036,77.562685,824,-95,-13,0
6,12.908036,77.562685,824,-84,-3,13
7,12.908036,77.562685,824,-94,-12,0
8,12.908036,77.562685,824,-87,-4,11
9,12.908036,77.562685,824,-97,-12,0
10,12.902758,77.504907,769,-107,-12,0
11,12.902758,77.504907,769,-114,-15,-12
12,12.902758,77.504907,769,-105,-11,0
13,12.902758,77.504907,769,-106,-8,-3
14,12.902758,77.504907,769,-102,-13,0
15,12.90149,77.564162,820,-100,-14,0
16,12.90149,77.564162,820,-100,-17,0
17,12.897825,77.559227,820,-100,-17,0
18,12.896378,77.556968,820,-100,-17,0
19,12.898343,77.558467,820,-100,-17,0
20,12.897813,77.559518,820,-100,-17,0
21,12.899452,77.560038,820,-100,-17,0
22,12.898893,77.560077,820,-95,-13,0
23,12.896255,77.558607,820,-95,-12,0
24,12.896915,77.558565,820,-95,-12,0
25,12.908036,77.562685,,-84,-3,13
26,12.908036,77.562685,,-94,-12,0
27,12.908036,77.562685,,-87,-4,11
28,12.908036,77.562685,,-97,-12,0
29,12.908036,77.562685,,-88,-3,11
30,12.908036,77.562685,,-97,-12,0
31,12.908036,77.562685,,-84,-3,17
32,12.908036,77.562685,,-99,-13,0
33,12.908036,77.562685,,-84,-3,16
34,12.908036,77.562685,,-96,-12,0
35,12.902758,77.504907,,-109,-13,-8
36,12.902758,77.504907,,-105,-11,0
37,12.902758,77.504907,,-105,-11,-5
38,12.902758,77.504907,,-108,-13,0
39,12.902758,77.504907,,-108,-15,-10
40,12.90149,77.564162,,-100,-17,0
41,12.90199,77.564055,799,-101,-18,0
42,12.901982,77.564055,803,-101,-18,0
43,12.90199,77.56394,,-201,NaN,-13
44,12.90199,77.56394,,-95,-16,0
45,12.902032,77.563857,,-201,NaN,-2
46,12.902032,77.563857,,-94,-16,0
47,12.902043,77.56366,,-95,-17,0
48,12.90204,77.563558,,-201,NaN,-4
49,12.90204,77.563558,,-96,-15,0
50,12.901988,77.56394,796,-100,-17,0
51,12.90199,77.56394,796,-100,-17,0
52,12.90199,77.56394,796,-201,NaN,0
53,12.90199,77.56394,796,-95,-16,0
54,12.902032,77.563857,797,-95,-16,0
55,12.902032,77.563857,797,-201,NaN,0
56,12.902073,77.563758,796,-95,-15,0
57,12.902043,77.56366,793,-97,-18,0
58,12.902043,77.56366,793,-95,-17,0
59,12.90204,77.563558,793,-100,-17,0
60,12.90204,77.563558,793,-201,NaN,0
61,12.90204,77.563558,793,-96,-15,0
62,12.902057,77.563558,797,-96,-15,0
63,12.902073,77.56356,797.9278,-96,-15,0
64,12.90208,77.56336,800.4352,-94,-14,0
65,12.90209,77.56327,797.2344,-94,-14,0
66,12.902137,77.56317,795.3134,-94,-14,0
67,12.902182,77.56309,795.3134,-94,-14,0
68,12.902198,77.563,794.9657,-94,-14,0
69,12.902213,77.5629,791.3577,-94,-14,0
70,12.902288,77.56281,795.3134,-94,-14,0
71,12.902368,77.56272,795.3134,-94,-14,0
72,12.902368,77.56266,793.5257,-94,-14,0
73,12.902368,77.56272,793.5257,-94,-14,0
74,12.902758,77.504907,769,-108,-14,0
75,12.902758,77.504907,769,-109,-13,-8
76,12.902758,77.504907,769,-105,-11,0
77,12.902758,77.504907,769,-105,-11,-5
78,12.902758,77.504907,769,-108,-13,0
79,12.902758,77.504907,769,-108,-15,-10
80,12.902758,77.504907,769,-108,-15,-10
81,12.908549,77.553256,NaN,-105,-13,0
82,12.908549,77.553256,810,-201,NaN,12
83,12.908549,77.553256,810,-105,-13,0
84,12.905095,77.563214,816,-87,-10,0
85,12.905095,77.563214,816,-201,NaN,16
86,12.905095,77.563214,816,-85,-11,0
87,12.905004,77.563206,816,-201,NaN,15
88,12.905102,77.563283,816,-201,NaN,15
89,12.905102,77.563283,816,-80,-10,0
90,12.905093,77.563153,811,-80,-10,0
91,12.905093,77.563153,811,-201,NaN,17
92,12.905093,77.563153,811,-80,-11,0
93,12.90427,77.56282,NaN,-88,-12,0
94,12.90427,77.56282,NaN,-88,-12,0
95,12.90204,77.56356,803.2978,-96,-15,0
96,12.895013,77.559213,,-89,-8,0
97,12.89502,77.55922,,-201,,14
98,12.895127,77.559195,,-88,-8,0
99,12.895232,77.559213,,-201,,17
100,12.895272,77.55921,,-86,-8,0
101,12.895397,77.559375,,-201,,19
102,12.895422,77.559383,,-89,-9,0
103,12.895447,77.559392,,-201,,15
104,12.895447,77.559392,,-89,-9,0
105,12.895447,77.559392,,-201,,15
106,12.89549,77.559535,,-89,-9,0
107,12.896157,77.559143,,-89,-9,0
108,12.897063,77.558145,,-89,-9,0
109,12.896047,77.557108,,-89,-9,0
110,12.896083,77.556745,,-89,-9,0
111,12.897255,77.557435,,-89,-9,0
112,12.898472,77.55829,,-89,-9,0
113,12.899873,77.559743,,-89,-9,0
114,12.901257,77.561378,,-89,-9,0
115,12.895413,77.559257,,-201,,18
116,12.895408,77.55924,,-82,-7,0
117,12.895413,77.559172,,-201,,20
118,12.895448,77.559138,,-88,-7,0
