Latitude,Longitude,RSRP,RSRQ,SNR,Elevation
12.89374,77.565708,-99,-13.0,0.0,910.0
12.893743,77.565672,-99,-13.0,0.0,910.0
12.893745,77.565633,-99,-13.0,0.0,910.0
12.893747,77.565758,-99,-13.0,0.0,910.0
12.89375,77.566755,-99,-13.0,0.0,906.0
12.893752,77.565597,-99,-13.0,0.0,911.0
12.893753,77.565808,-99,-13.0,0.0,911.0
12.893753,77.56667,-99,-13.0,0.0,906.0
12.893755,77.566843,-99,-13.0,0.0,906.0
12.893755,77.56693,-99,-13.0,0.0,906.0
12.893757,77.566583,-99,-13.0,0.0,911.0
12.893758,77.567013,-99,-13.0,0.0,906.0
12.89376,77.565862,-99,-13.0,0.0,911.0
12.893762,77.565562,-99,-13.0,0.0,911.0
12.893763,77.566502,-99,-13.0,0.0,911.0
12.893763,77.567092,-99,-13.0,0.0,906.0
12.893767,77.56717,-99,-13.0,0.0,906.0
12.893768,77.56592,-99,-13.0,0.0,911.0
12.893768,77.565973,-99,-13.0,0.0,911.0
12.893768,77.56642,-99,-13.0,0.0,911.0
12.89377,77.565532,-99,-13.0,0.0,911.0
12.89377,77.566035,-99,-13.0,0.0,911.0
12.893772,77.566102,-99,-13.0,0.0,911.0
12.893773,77.566183,-99,-13.0,0.0,911.0
12.893773,77.566337,-99,-13.0,0.0,911.0
12.893775,77.566257,-99,-13.0,0.0,911.0
12.893778,77.56551,-99,-13.0,0.0,911.0
12.893778,77.567247,-99,-13.0,0.0,906.0
12.893787,77.567313,-99,-13.0,0.0,906.0
12.893788,77.565425,-99,-13.0,0.0,911.0
12.893792,77.567385,-99,-13.0,0.0,906.0
12.893793,77.565417,-99,-13.0,0.0,911.0
12.893797,77.567453,-99,-13.0,0.0,906.0
12.893797,77.56752,-99,-13.0,0.0,906.0
12.8938,77.565408,-99,-13.0,0.0,911.0
12.893802,77.567582,-99,-13.0,0.0,906.0
12.893808,77.565395,-99,-13.0,0.0,911.0
12.89381,77.567643,-99,-13.0,0.0,906.0
12.893815,77.5677,-99,-13.0,0.0,906.0
12.893817,77.565373,-99,-13.0,0.0,911.0
12.893825,77.567748,-99,-13.0,0.0,906.0
12.893828,77.565342,-99,-13.0,0.0,911.0
12.893837,77.567785,-99,-13.0,0.0,906.0
12.89384,77.565313,-99,-13.0,0.0,911.0
12.893845,77.56781,-99,-13.0,0.0,906.0
12.893845,77.56788,-99,-13.0,0.0,906.0
12.893852,77.565285,-99,-13.0,0.0,911.0
12.893853,77.567828,-99,-13.0,0.0,906.0
12.893853,77.567868,-99,-13.0,0.0,906.0
12.893855,77.567858,-99,-13.0,0.0,906.0
12.893855,77.567938,-99,-13.0,0.0,906.0
12.893857,77.567843,-99,-13.0,0.0,906.0
12.893867,77.565252,-99,-13.0,0.0,911.0
12.89387,77.567953,-99,-13.0,0.0,906.0
12.893882,77.56522,-99,-13.0,0.0,911.0
12.893887,77.565197,-99,-13.0,0.0,911.0
12.89389,77.565175,-99,-13.0,0.0,911.0
12.893892,77.567977,-99,-13.0,0.0,906.0
12.893898,77.565152,-99,-13.0,0.0,911.0
12.89391,77.565125,-99,-13.0,0.0,911.0
12.893917,77.568003,-99,-13.0,0.0,906.0
12.89392,77.565098,-99,-13.0,0.0,911.0
12.893932,77.56507,-99,-13.0,0.0,911.0
12.893937,77.56504,-99,-13.0,0.0,911.0
12.893943,77.568033,-99,-13.0,0.0,906.0
12.89395,77.565,-99,-13.0,0.0,911.0
12.893955,77.564953,-99,-13.0,0.0,911.0
12.89396,77.564902,-99,-13.0,0.0,911.0
12.893965,77.564843,-99,-13.0,0.0,911.0
12.893975,77.564785,-99,-13.0,0.0,911.0
12.893975,77.568063,-99,-13.0,0.0,906.0
12.893982,77.564717,-99,-13.0,0.0,911.0
12.893985,77.564647,-99,-13.0,0.0,911.0
12.893988,77.564578,-99,-13.0,0.0,909.0
12.894002,77.564502,-99,-13.0,0.0,909.0
12.894015,77.5681,-99,-13.0,0.0,906.0
12.894025,77.564422,-99,-13.0,0.0,909.0
12.894043,77.564335,-99,-13.0,0.0,909.0
12.89406,77.568143,-99,-13.0,0.0,906.0
12.894062,77.564248,-99,-13.0,0.0,909.0
12.894078,77.564163,-99,-13.0,0.0,909.0
12.894083,77.564085,-99,-13.0,0.0,909.0
12.89409,77.564425,-89,-9.0,0.0,909.0
12.89409,77.56453,-89,-9.0,0.0,909.0
12.894092,77.56401,-99,-13.0,0.0,909.0
12.894092,77.564455,-89,-9.0,0.0,909.0
12.894093,77.56448,-89,-9.0,0.0,909.0
12.894093,77.564507,-89,-9.0,0.0,909.0
12.894095,77.564383,-89,-9.0,0.0,909.0
12.894095,77.56455,-89,-9.0,0.0,909.0
12.894102,77.564565,-89,-9.0,0.0,909.0
12.894103,77.563938,-99,-13.0,0.0,909.0
12.894103,77.564347,-89,-9.0,0.0,909.0
12.89411,77.563807,-99,-13.0,0.0,909.0
12.89411,77.564313,-89,-9.0,0.0,909.0
12.89411,77.56819,-99,-13.0,0.0,906.0
12.894112,77.563873,-99,-13.0,0.0,909.0
12.894113,77.563472,-99,-13.0,0.0,909.0
12.894113,77.563687,-99,-13.0,0.0,909.0
12.894113,77.564578,-89,-9.0,0.0,909.0
12.894115,77.563538,-99,-13.0,0.0,909.0
12.894115,77.563648,-99,-13.0,0.0,909.0
12.894115,77.563762,-99,-13.0,0.0,909.0
12.894117,77.563255,-99,-13.0,0.0,909.0
12.894117,77.563323,-99,-13.0,0.0,909.0
12.894117,77.563597,-99,-13.0,0.0,909.0
12.894117,77.56372,-99,-13.0,0.0,909.0
12.894118,77.563402,-99,-13.0,0.0,909.0
12.894127,77.563187,-99,-13.0,0.0,909.0
12.894127,77.564585,-89,-9.0,0.0,911.0
12.894138,77.564585,-89,-9.0,0.0,911.0
12.89414,77.563113,-99,-13.0,0.0,909.0
12.894142,77.564248,-89,-9.0,0.0,909.0
12.894147,77.563712,-89,-9.0,0.0,909.0
12.894148,77.56376,-89,-9.0,0.0,909.0
12.894148,77.564007,-89,-9.0,0.0,909.0
12.894148,77.564058,-89,-9.0,0.0,909.0
12.894148,77.56458,-89,-9.0,0.0,909.0
12.894152,77.563038,-99,-13.0,0.0,909.0
12.894152,77.564098,-89,-9.0,0.0,909.0
12.894152,77.564198,-89,-9.0,0.0,909.0
12.894155,77.563958,-89,-9.0,0.0,909.0
12.894155,77.568237,-99,-13.0,0.0,906.0
12.894157,77.563827,-89,-9.0,0.0,909.0
12.894157,77.56415,-89,-9.0,0.0,909.0
12.89416,77.562972,-99,-13.0,0.0,909.0
12.894163,77.563892,-89,-9.0,0.0,909.0
12.894163,77.564568,-89,-9.0,0.0,909.0
12.894165,77.56367,-89,-9.0,0.0,909.0
12.89417,77.562913,-99,-13.0,0.0,909.0
12.894178,77.56329,-89,-9.0,0.0,909.0
12.894178,77.564558,-89,-9.0,0.0,909.0
12.894182,77.56333,-89,-9.0,0.0,909.0
12.894183,77.562872,-99,-13.0,0.0,909.0
12.894187,77.563362,-89,-9.0,0.0,909.0
12.894188,77.563622,-89,-9.0,0.0,909.0
12.894192,77.563575,-89,-9.0,0.0,909.0
12.894193,77.563243,-89,-9.0,0.0,909.0
12.894193,77.563392,-89,-9.0,0.0,909.0
12.894195,77.563417,-89,-9.0,0.0,909.0
12.894195,77.563522,-89,-9.0,0.0,909.0
12.894198,77.562827,-99,-13.0,0.0,909.0
12.8942,77.563485,-89,-9.0,0.0,909.0
12.8942,77.568277,-99,-13.0,0.0,906.0
12.894202,77.564547,-89,-9.0,0.0,909.0
12.894205,77.563452,-89,-9.0,0.0,909.0
12.894215,77.562797,-99,-13.0,0.0,909.0
12.894217,77.562713,-99,-13.0,0.0,909.0
12.894222,77.562687,-99,-13.0,0.0,909.0
12.894222,77.562742,-99,-13.0,0.0,909.0
12.894222,77.56277,-99,-13.0,0.0,909.0
12.89423,77.564547,-89,-9.0,0.0,909.0
12.894233,77.562658,-99,-13.0,0.0,909.0
12.894237,77.563185,-89,-9.0,0.0,909.0
12.894237,77.568312,-99,-13.0,0.0,906.0
12.894238,77.562633,-99,-13.0,0.0,909.0
12.894252,77.562612,-99,-13.0,0.0,909.0
12.894252,77.562687,-89,-9.0,0.0,909.0
12.894257,77.564542,-89,-9.0,0.0,909.0
12.894258,77.562735,-89,-9.0,0.0,909.0
12.89426,77.562643,-89,-9.0,0.0,909.0
12.894263,77.563133,-89,-9.0,0.0,909.0
12.894267,77.562798,-89,-9.0,0.0,909.0
12.89427,77.562782,-89,-9.0,0.0,909.0
12.89427,77.562828,-89,-9.0,0.0,909.0
12.894272,77.568347,-99,-13.0,0.0,906.0
12.894273,77.562602,-99,-13.0,0.0,909.0
12.894273,77.562865,-89,-9.0,0.0,909.0
12.89428,77.562613,-89,-9.0,0.0,909.0
12.894282,77.562913,-89,-9.0,0.0,909.0
12.894285,77.563058,-89,-9.0,0.0,909.0
